timestamp,usage,kernel,nice,idle,io,hardware_interrupts,software_interrupts,steal_time
2020-04-16 11:46:01,10.5,2.5,0.0,46.5,0.0,0.0,0.0,40.5
2020-04-16 11:47:02,12.9,7.3,0.0,53.2,0.0,0.0,0.0,26.6
2020-04-16 11:48:01,8.6,3.3,0.0,52.0,0.0,0.0,0.7,35.5
2020-04-16 11:49:01,11.9,3.8,0.0,45.3,0.0,0.0,0.6,38.4
2020-04-16 11:50:02,7.3,3.7,0.0,12.8,0.0,0.0,0.6,75.6
2020-04-16 11:51:02,11.3,3.8,0.0,62.4,0.0,0.0,0.8,21.8
2020-04-16 11:52:01,9.0,4.5,0.0,68.7,0.0,0.0,0.7,17.2
2020-04-16 11:53:01,13.3,5.3,0.0,69.0,0.0,0.0,0.0,12.4
2020-04-16 11:54:01,9.4,4.4,0.0,39.0,0.0,0.0,0.6,46.5
2020-04-16 11:55:01,8.8,7.3,0.0,43.1,0.0,0.0,0.7,40.1
2020-04-16 11:56:01,8.5,5.4,0.0,56.2,2.3,0.0,0.0,27.7
2020-04-16 11:57:02,9.5,5.6,0.0,52.4,0.8,0.0,0.0,31.7
2020-04-16 11:58:01,11.6,5.8,0.0,64.5,0.0,0.0,0.0,18.2
2020-04-16 11:59:01,7.1,5.7,0.0,48.6,0.0,0.0,0.7,37.9
2020-04-16 12:00:02,9.7,5.3,0.0,8.1,2.8,0.0,0.0,74.1
2020-04-16 12:01:02,3.8,2.6,0.0,34.2,3.8,0.0,0.0,55.6
2020-04-16 12:02:02,8.7,4.7,0.0,56.7,11.0,0.0,0.0,18.9
2020-04-16 12:03:01,8.3,8.3,0.0,53.8,0.0,0.0,0.0,29.6
2020-04-16 12:04:01,10.8,4.6,0.0,40.8,0.0,0.0,0.8,43.1
2020-04-16 12:05:02,8.5,4.9,0.0,34.1,0.0,0.0,0.6,51.8
2020-04-16 12:06:01,10.5,4.9,0.0,45.5,0.0,0.0,0.0,39.2
2020-04-16 12:07:01,8.3,4.6,0.0,76.1,0.0,0.0,0.0,11.0
2020-04-16 12:08:02,6.9,4.6,0.0,64.1,0.0,0.0,0.8,23.7
2020-04-16 12:09:00,10.2,8.6,0.0,51.6,2.3,0.0,0.0,27.3
2020-04-16 12:10:02,11.5,4.6,0.0,57.3,0.0,0.0,0.0,26.7
2020-04-16 12:11:01,8.7,4.4,0.0,54.1,0.0,0.0,0.0,32.8
2020-04-16 12:12:01,7.6,4.9,0.0,56.5,0.0,0.0,0.5,30.4
2020-04-16 12:13:02,9.5,3.6,0.0,54.8,0.0,0.0,0.0,32.1
2020-04-16 12:14:01,9.0,5.8,0.0,41.3,0.0,0.0,0.5,43.4
2020-04-16 12:15:02,14.4,9.4,0.0,13.7,0.0,0.0,0.0,62.6
2020-04-16 12:16:01,9.8,6.0,0.0,36.1,0.0,0.0,0.0,48.1
2020-04-16 12:17:01,11.9,5.6,0.0,37.3,0.0,0.0,0.0,45.2
2020-04-16 12:18:02,7.3,5.1,0.0,48.9,0.0,0.0,0.0,38.8
2020-04-16 12:19:01,6.7,3.6,0.0,45.6,0.0,0.0,0.0,44.1
2020-04-16 12:20:02,7.4,5.7,0.0,17.0,0.0,0.0,1.1,68.8
2020-04-16 12:21:01,15.0,4.2,0.0,69.2,0.0,0.0,1.7,10.0
2020-04-16 12:22:01,8.3,3.2,0.0,44.0,0.0,0.0,0.0,44.4
2020-04-16 12:23:02,8.2,4.1,0.0,53.7,0.0,0.0,0.0,34.0
2020-04-16 12:24:01,7.4,3.5,0.0,52.4,0.0,0.0,0.4,36.4
2020-04-16 12:25:01,9.6,4.8,0.0,61.6,0.0,0.0,0.0,24.0
2020-04-16 12:26:01,9.3,5.4,0.0,58.1,0.0,0.0,0.8,26.4
2020-04-16 12:27:01,9.3,6.5,0.0,75.0,0.0,0.0,0.0,9.3
2020-04-16 12:28:01,9.1,6.1,0.0,46.1,0.0,0.0,0.6,38.2
2020-04-16 12:29:02,9.0,6.0,0.0,53.7,0.0,0.0,0.7,30.6
2020-04-16 12:30:01,15.4,11.2,0.0,29.0,0.0,0.0,0.0,44.4
2020-04-16 12:31:01,7.5,4.1,0.0,63.0,0.0,0.0,0.0,25.3
2020-04-16 12:32:01,9.6,4.8,0.0,58.1,0.0,0.0,0.0,27.5
2020-04-16 12:33:02,7.5,5.0,0.0,53.1,0.0,0.0,0.0,34.4
2020-04-16 12:34:01,6.3,6.3,0.0,59.1,0.0,0.0,0.6,27.7
2020-04-16 12:35:02,9.5,7.5,0.0,33.7,0.0,0.0,0.5,48.7
2020-04-16 12:36:01,9.1,7.4,0.0,66.1,0.0,0.0,0.8,16.5
2020-04-16 12:37:02,8.7,4.7,0.0,39.6,0.0,0.0,1.3,45.6
2020-04-16 12:38:01,11.7,3.6,0.0,74.8,0.0,0.0,0.0,9.9
2020-04-16 12:39:01,11.6,4.9,0.0,34.8,0.0,0.0,0.6,48.2
2020-04-16 12:40:02,10.6,4.3,0.0,41.1,0.0,0.0,0.0,44.0
2020-04-16 12:41:02,8.5,5.2,0.0,52.9,0.0,0.0,0.7,32.7
2020-04-16 12:42:01,7.3,5.5,0.0,73.6,0.0,0.0,0.9,12.7
2020-04-16 12:43:01,7.7,4.8,0.0,63.7,0.0,0.0,0.0,23.8
2020-04-16 12:44:01,10.8,3.3,0.0,59.2,0.0,0.0,0.8,25.8
2020-04-16 12:45:01,13.0,7.7,0.0,12.6,0.0,0.0,1.0,65.7
2020-04-16 12:46:01,11.2,4.8,0.0,58.4,0.0,0.0,0.8,24.8
2020-04-16 12:47:01,8.9,5.7,0.0,63.9,0.0,0.0,1.3,20.3
2020-04-16 12:48:01,10.1,2.9,0.0,61.2,0.0,0.0,0.0,25.9
2020-04-16 12:49:02,10.0,6.7,0.0,56.7,0.0,0.0,0.8,25.8
2020-04-16 12:50:01,12.0,3.8,0.0,45.9,0.0,0.0,0.0,38.3
2020-04-16 12:51:02,9.8,3.1,0.0,33.0,0.0,0.0,1.0,53.1
2020-04-16 12:52:01,7.4,3.2,0.0,37.0,0.0,0.0,0.0,52.4
2020-04-16 12:53:02,9.1,6.1,0.0,45.5,0.0,0.0,0.0,39.4
2020-04-16 12:54:01,9.2,4.6,0.0,56.9,0.0,0.0,1.5,27.7
2020-04-16 12:55:02,5.1,6.1,0.0,12.1,0.0,0.0,0.5,76.2
2020-04-16 12:56:02,7.5,4.5,0.0,56.7,4.5,0.0,0.7,26.1
2020-04-16 12:57:01,8.2,3.3,0.0,56.6,0.0,0.0,0.8,31.1
2020-04-16 12:58:01,8.5,4.7,0.0,58.1,0.0,0.0,0.0,28.7
2020-04-16 12:59:01,9.0,4.5,0.0,61.5,0.0,0.0,0.0,25.0
2020-04-16 13:00:02,10.8,5.4,0.0,16.2,1.2,0.0,0.0,66.5
2020-04-16 13:01:02,8.9,3.2,0.0,17.4,0.0,0.0,0.0,70.5
2020-04-16 13:02:01,7.4,2.0,0.0,38.9,0.0,0.0,0.0,51.7
2020-04-16 13:03:01,8.5,3.4,0.0,69.2,0.0,0.0,0.0,18.8
2020-04-16 13:04:02,10.2,5.6,0.0,47.2,0.0,0.0,0.0,37.1
2020-04-16 13:05:02,7.2,4.6,0.0,29.4,0.0,0.0,0.0,58.8
2020-04-16 13:06:01,7.6,2.8,0.0,54.9,0.0,0.0,0.0,34.7
2020-04-16 13:07:01,19.1,5.2,0.0,47.0,0.0,0.0,0.0,28.7
2020-04-16 13:08:02,7.6,5.6,0.0,61.1,0.0,0.0,1.4,24.3
2020-04-16 13:09:01,12.9,8.6,0.0,41.7,0.0,0.0,1.4,35.3
2020-04-16 13:10:01,12.0,3.8,0.0,55.1,0.0,0.0,0.6,28.5
2020-04-16 13:11:02,14.9,6.3,0.0,35.6,0.0,0.0,0.6,42.5
2020-04-16 13:12:01,9.5,4.8,0.0,65.9,0.0,0.0,0.0,19.8
2020-04-16 13:13:02,9.2,4.2,0.0,41.5,0.0,0.0,0.7,44.4
2020-04-16 13:14:01,10.5,6.4,0.0,49.7,0.0,0.0,0.0,33.3
2020-04-16 13:15:01,24.8,9.0,0.0,18.8,0.0,0.0,1.5,45.9
2020-04-16 13:16:01,8.6,4.1,0.0,41.6,3.0,0.0,0.5,42.1
2020-04-16 13:17:01,20.0,5.2,0.0,61.7,0.0,0.0,0.0,13.0
2020-04-16 13:18:01,6.8,4.5,0.0,30.0,0.5,0.0,0.9,57.3
2020-04-16 13:19:02,10.6,4.1,0.0,38.8,0.0,0.0,1.2,45.3
2020-04-16 13:20:01,9.7,4.0,0.0,29.5,1.1,0.0,0.6,55.1
2020-04-16 13:21:02,10.1,3.6,0.0,40.5,0.0,0.0,0.6,45.2
2020-04-16 13:22:01,6.7,3.9,0.0,49.4,0.0,0.0,0.0,40.0
2020-04-16 13:23:02,6.0,1.8,0.0,42.4,0.5,0.0,0.0,49.3
2020-04-16 13:24:02,7.7,3.3,0.0,49.7,0.0,0.0,0.0,39.2
2020-04-16 13:25:01,12.5,3.3,0.0,66.7,0.0,0.0,0.0,17.5
2020-04-16 13:26:01,9.8,4.9,0.0,69.7,0.0,0.0,0.0,15.6
2020-04-16 13:27:02,32.1,6.6,0.0,21.9,0.0,0.0,0.0,39.4
2020-04-16 13:28:01,14.7,6.0,0.0,29.4,0.0,0.0,0.5,49.5
2020-04-16 13:29:01,31.9,4.2,0.0,47.1,0.0,0.0,0.0,16.8
2020-04-16 13:30:02,15.9,11.1,2.9,3.4,0.0,0.0,0.0,66.8
2020-04-16 13:31:01,26.8,10.2,13.4,33.1,0.0,0.0,0.0,16.5
2020-04-16 13:32:01,23.1,5.8,39.7,0.0,0.0,0.0,0.0,31.4
2020-04-16 13:33:02,21.6,5.4,31.5,0.0,0.0,0.0,0.9,40.5
2020-04-16 13:34:01,19.8,5.2,46.6,3.4,0.0,0.0,0.0,25.0
2020-04-16 13:35:01,12.3,6.5,24.5,0.0,0.0,0.0,0.0,56.8
2020-04-16 13:36:01,23.1,7.7,34.2,2.6,0.0,0.0,0.0,32.5
2020-04-16 13:37:01,22.0,4.6,34.9,0.0,0.0,0.0,0.0,38.5
2020-04-16 13:38:02,19.0,5.6,40.5,1.6,0.0,0.0,0.0,33.3
2020-04-16 13:39:01,22.2,8.9,34.2,1.9,0.0,0.0,0.6,32.3
2020-04-16 13:40:02,20.5,7.9,29.1,0.8,0.0,0.0,0.0,41.7
2020-04-16 13:41:01,14.3,5.4,44.6,3.6,0.0,0.0,0.0,32.1
2020-04-16 13:42:02,18.5,5.6,50.0,2.8,0.0,0.0,0.9,22.2
2020-04-16 13:43:01,18.5,6.5,0.0,67.6,0.0,0.0,0.9,6.5
2020-04-16 13:44:01,18.0,3.0,0.0,55.6,0.0,0.0,0.0,23.3
2020-04-16 13:45:02,20.2,6.6,0.0,2.8,0.0,0.0,0.0,70.4
2020-04-16 13:46:02,23.4,5.7,0.0,26.9,0.0,0.0,0.6,43.4
2020-04-16 13:47:01,16.7,2.9,0.0,75.5,0.0,0.0,2.0,2.9
2020-04-16 13:48:01,14.0,3.5,0.0,68.4,0.0,0.0,0.0,14.0
2020-04-16 13:49:02,27.4,4.3,0.0,38.5,0.0,0.0,0.9,29.1
2020-04-16 13:50:01,43.3,2.9,0.0,48.1,0.0,0.0,1.0,4.8
2020-04-16 13:51:01,20.8,5.0,15.8,56.4,0.0,0.0,0.0,2.0
2020-04-16 13:52:02,19.2,8.4,30.5,4.8,0.0,0.0,0.0,37.1
2020-04-16 13:53:01,26.4,7.5,61.3,2.8,0.0,0.0,0.0,1.9
2020-04-16 13:54:01,21.3,6.6,14.8,45.1,0.0,0.0,0.8,11.5
2020-04-16 13:55:01,19.8,9.9,9.9,19.0,0.8,0.0,0.8,39.7
2020-04-16 13:56:02,18.5,3.1,6.9,25.4,1.5,0.0,0.0,44.6
2020-04-16 13:57:01,31.6,7.7,12.8,35.9,0.0,0.0,0.0,12.0
2020-04-16 13:58:02,18.4,5.5,23.9,1.2,0.0,0.0,0.0,50.9
2020-04-16 13:59:01,17.6,8.3,26.9,39.8,0.9,0.0,0.0,6.5
2020-04-16 14:00:01,20.0,6.4,30.4,0.0,10.4,0.0,0.0,32.8
2020-04-16 14:01:01,22.7,7.6,49.6,3.4,0.0,0.0,0.0,16.8
2020-04-16 14:02:01,21.7,5.2,54.8,2.6,0.0,0.0,0.0,15.7
2020-04-16 14:03:02,13.6,6.8,47.5,0.8,0.0,0.0,0.0,31.4
2020-04-16 14:04:01,19.8,4.8,53.5,0.5,0.0,0.0,0.0,21.4
2020-04-16 14:05:01,16.9,6.8,46.6,1.7,0.0,0.0,0.8,27.1
2020-04-16 14:06:01,21.9,4.4,68.4,1.8,0.0,0.0,0.0,3.5
2020-04-16 14:07:01,22.1,4.4,57.5,2.7,0.0,0.0,0.9,12.4
2020-04-16 14:08:01,17.2,5.2,46.6,1.7,0.0,0.0,0.0,29.3
2020-04-16 14:09:02,18.2,4.4,28.5,0.0,0.0,0.0,0.0,48.9
2020-04-16 14:10:01,19.9,9.6,36.5,1.3,0.0,0.0,0.0,32.7
2020-04-16 14:11:01,24.0,3.9,40.3,0.0,0.0,0.0,0.0,31.8
2020-04-16 14:12:01,18.5,8.4,61.3,3.4,0.0,0.0,0.0,8.4
2020-04-16 14:13:02,16.1,5.8,45.8,0.0,0.0,0.0,0.6,31.6
2020-04-16 14:14:01,22.7,10.6,51.1,1.4,0.0,0.0,0.0,14.2
2020-04-16 14:15:02,18.0,7.8,8.4,0.0,0.3,0.0,0.0,65.5
2020-04-16 14:16:01,21.5,8.3,39.7,3.3,0.8,0.0,0.0,26.4
2020-04-16 14:17:02,17.4,9.0,43.8,2.1,0.0,0.0,0.0,27.8
2020-04-16 14:18:01,14.4,6.4,4.8,19.2,0.8,0.0,0.0,54.4
2020-04-16 14:19:01,20.3,4.1,6.5,35.8,0.0,0.0,0.8,32.5
2020-04-16 14:20:01,13.3,8.6,64.8,1.9,0.0,0.0,1.0,10.5
2020-04-16 14:21:01,17.6,2.4,48.0,1.6,0.0,0.0,0.8,29.6
2020-04-16 14:22:02,23.9,5.1,39.3,3.4,0.0,0.0,0.0,28.2
2020-04-16 14:23:01,16.1,4.5,53.5,1.9,0.0,0.0,0.6,23.2
2020-04-16 14:24:01,24.1,6.0,37.9,0.9,0.0,0.0,0.0,31.0
2020-04-16 14:25:01,14.6,6.9,10.0,45.4,0.8,0.0,0.0,22.3
2020-04-16 14:26:02,20.3,7.4,42.6,9.5,0.0,0.0,0.0,20.3
2020-04-16 14:27:01,14.6,4.2,22.2,8.3,16.7,0.0,0.0,34.0
2020-04-16 14:28:01,34.8,4.5,22.3,0.9,0.0,0.0,0.0,37.5
2020-04-16 14:29:02,19.5,10.0,17.3,5.5,0.9,0.0,0.9,45.9
2020-04-16 14:30:01,27.7,10.8,16.2,5.4,0.0,0.0,0.0,39.9
2020-04-16 14:31:01,17.6,5.6,60.8,4.0,0.8,0.0,0.0,11.2
2020-04-16 14:32:01,26.1,8.2,36.6,4.5,0.0,0.0,0.0,24.6
2020-04-16 14:33:02,13.1,6.2,26.9,0.7,0.0,0.0,0.0,53.1
2020-04-16 14:34:01,24.3,4.7,61.7,1.9,0.0,0.0,0.0,7.5
2020-04-16 14:35:01,24.3,9.6,47.1,2.2,0.0,0.0,0.0,16.9
2020-04-16 14:36:02,22.2,9.6,30.4,3.0,0.0,0.0,0.0,34.8
2020-04-16 14:37:01,24.8,3.4,42.7,0.9,0.0,0.0,0.0,28.2
2020-04-16 14:38:01,14.3,4.1,0.0,57.1,0.0,0.0,0.7,23.8
2020-04-16 14:39:01,20.9,10.9,0.0,37.3,0.0,0.0,0.0,30.9
2020-04-16 14:40:02,15.2,7.0,0.0,25.9,0.0,0.0,0.0,51.9
2020-04-16 14:41:01,23.7,4.6,0.0,46.6,0.8,0.0,0.8,23.7
2020-04-16 14:42:01,19.1,3.6,0.0,62.7,0.0,0.0,0.0,14.5
2020-04-16 14:43:02,17.3,4.3,0.0,51.1,0.0,0.0,0.7,26.6
2020-04-16 14:44:01,17.5,5.6,0.0,55.6,0.0,0.0,1.6,19.8
2020-04-16 14:45:01,36.4,14.5,0.0,20.0,0.0,0.0,0.0,29.1
2020-04-16 14:46:01,14.1,4.7,0.0,52.3,0.0,0.0,0.0,28.9
2020-04-16 14:47:01,22.7,3.0,0.0,50.0,0.0,0.0,0.0,24.2
2020-04-16 14:48:01,20.0,4.6,0.0,57.7,0.0,0.0,0.0,17.7
2020-04-16 14:49:01,19.8,4.3,0.0,55.2,0.0,0.0,0.0,20.7
2020-04-16 14:50:02,14.1,4.2,0.0,41.5,0.0,0.0,0.0,40.1
2020-04-16 14:51:01,13.8,5.7,0.0,44.0,0.0,0.0,0.6,35.8
2020-04-16 14:52:01,18.1,3.6,0.0,58.7,0.0,0.0,1.4,18.1
2020-04-16 14:53:02,13.7,5.8,0.0,42.4,0.0,0.0,1.4,36.7
2020-04-16 14:54:02,17.4,7.4,0.0,38.9,0.0,0.0,2.0,34.2
2020-04-16 14:55:01,25.6,17.7,0.0,23.8,0.6,0.0,0.6,31.7
2020-04-16 14:56:01,29.5,7.4,0.0,36.1,4.1,0.0,0.0,23.0
2020-04-16 14:57:01,17.2,6.0,0.0,63.8,0.0,0.0,0.0,12.9
2020-04-16 14:58:02,20.4,7.3,0.0,32.1,0.0,0.0,0.7,39.4
2020-04-16 14:59:01,20.0,7.0,0.0,62.6,0.0,0.0,0.0,10.4
2020-04-16 15:00:02,16.6,8.1,0.0,13.5,0.9,0.0,0.0,61.0
2020-04-16 15:01:02,23.5,5.1,0.0,37.5,0.0,0.0,0.0,33.8
2020-04-16 15:02:01,22.9,4.6,0.0,65.1,0.0,0.0,0.0,7.3
2020-04-16 15:03:01,23.0,6.3,0.0,35.7,0.0,0.0,0.8,34.1
2020-04-16 15:04:02,20.9,5.1,0.0,34.2,0.0,0.0,0.6,39.2
2020-04-16 15:05:01,19.0,5.1,0.0,51.1,0.0,0.0,0.7,24.1
2020-04-16 15:06:01,19.2,6.6,0.0,35.1,0.0,0.0,1.3,37.7
2020-04-16 15:07:02,27.7,4.1,0.0,43.2,0.0,0.0,0.7,24.3
2020-04-16 15:08:01,16.7,2.9,0.0,56.5,0.0,0.0,0.7,23.2
2020-04-16 15:09:01,14.1,5.5,0.0,39.1,0.8,0.0,0.8,39.8
2020-04-16 15:10:02,20.0,2.9,0.0,33.1,0.0,0.0,0.6,43.4
2020-04-16 15:11:01,19.3,3.7,0.0,64.2,0.0,0.0,0.0,12.8
2020-04-16 15:12:01,17.2,4.3,0.0,62.1,0.0,0.0,0.9,15.5
2020-04-16 15:13:02,19.9,3.5,0.0,46.8,0.0,0.0,0.7,29.1
2020-04-16 15:14:01,20.0,5.5,0.0,65.5,0.0,0.0,0.0,9.1
2020-04-16 15:15:01,20.9,7.7,0.0,8.7,0.0,0.0,0.0,62.8
2020-04-16 15:16:02,14.9,5.4,0.0,43.5,0.0,0.0,0.0,36.3
2020-04-16 15:17:01,20.7,3.3,0.0,61.2,0.0,0.0,0.0,14.9
2020-04-16 15:18:01,18.0,6.3,0.0,63.1,0.0,0.0,0.0,12.6
2020-04-16 15:19:01,24.6,5.9,0.0,52.5,0.0,0.0,0.8,16.1
2020-04-16 15:20:02,16.9,5.6,0.0,53.5,0.7,0.0,1.4,21.8
2020-04-16 15:21:01,13.7,4.6,0.0,54.2,0.0,0.0,0.8,26.7
2020-04-16 15:22:01,26.3,7.6,0.0,35.6,0.0,0.0,0.0,30.5
2020-04-16 15:23:01,18.9,5.4,0.0,66.7,0.0,0.0,0.0,9.0
2020-04-16 15:24:01,18.1,5.7,0.0,69.5,0.0,0.0,0.0,6.7
2020-04-16 15:25:01,16.7,5.0,0.0,59.2,0.0,0.0,0.0,19.2
2020-04-16 15:26:02,14.2,4.5,0.0,31.3,0.0,0.0,0.7,49.3
2020-04-16 15:27:01,19.2,4.0,0.0,51.2,0.0,0.0,0.0,25.6
2020-04-16 15:28:01,15.0,5.3,0.0,65.5,0.0,0.0,0.0,14.2
2020-04-16 15:29:01,20.4,9.3,0.0,65.7,0.0,0.0,0.9,3.7
2020-04-16 15:30:02,21.0,7.8,0.0,10.2,0.0,0.0,0.0,61.1
2020-04-16 15:31:01,22.5,3.6,0.0,63.1,0.0,0.0,0.0,10.8
2020-04-16 15:32:01,19.6,1.8,0.0,67.0,0.0,0.0,0.9,10.7
2020-04-16 15:33:01,18.3,3.5,0.0,59.1,0.0,0.0,0.9,18.3
2020-04-16 15:34:02,16.5,8.7,0.0,48.7,0.0,0.0,0.0,26.1
2020-04-16 15:35:01,21.9,8.6,0.0,43.7,0.0,0.0,0.0,25.8
2020-04-16 15:36:01,18.4,3.2,0.0,37.6,0.0,0.0,0.8,40.0
2020-04-16 15:37:01,22.6,5.6,0.0,55.6,0.0,0.0,0.8,15.3
2020-04-16 15:38:02,14.3,2.3,0.0,30.3,0.0,0.0,0.6,52.6
2020-04-16 15:39:02,21.4,6.3,0.0,34.0,0.0,0.0,0.6,37.7
2020-04-16 15:40:01,15.3,3.9,0.0,35.8,0.0,0.0,0.4,44.5
2020-04-16 15:41:01,19.3,3.5,0.0,65.8,0.0,0.0,0.9,10.5
2020-04-16 15:42:02,27.2,3.7,0.0,47.1,0.0,0.0,0.0,22.1
2020-04-16 15:43:01,24.1,3.6,0.0,65.2,0.0,0.0,0.0,7.1
2020-04-16 15:44:01,18.0,3.0,0.0,60.9,0.0,0.0,0.0,18.0
2020-04-16 15:45:02,35.6,8.4,0.0,11.5,0.0,0.0,0.5,44.0
2020-04-16 15:46:02,18.4,5.1,0.0,44.1,0.7,0.0,0.7,30.9
2020-04-16 15:47:01,22.4,3.2,0.0,52.8,0.0,0.0,0.0,21.6
2020-04-16 15:48:01,25.4,5.9,0.0,55.1,0.0,0.0,0.8,12.7
2020-04-16 15:49:02,24.1,7.8,0.0,48.3,0.0,0.0,0.0,19.8
2020-04-16 15:50:01,19.8,11.5,0.0,11.5,0.5,0.0,0.0,56.7
2020-04-16 15:51:01,18.3,3.3,0.0,55.8,0.0,0.0,0.0,22.5
2020-04-16 15:52:02,20.7,8.1,0.0,58.6,0.0,0.0,1.8,10.8
2020-04-16 15:53:01,21.2,4.8,0.0,68.3,0.0,0.0,0.0,5.8
2020-04-16 15:54:01,19.4,2.9,0.0,71.8,0.0,0.0,1.0,4.9
2020-04-16 15:55:02,12.2,22.1,0.0,27.5,0.8,0.0,0.0,37.4
2020-04-16 15:56:01,20.2,8.4,0.0,46.2,7.6,0.0,0.8,16.8
2020-04-16 15:57:01,18.0,3.6,0.0,64.9,0.0,0.0,0.0,13.5
2020-04-16 15:58:02,20.6,2.8,0.0,65.4,0.0,0.0,0.9,10.3
2020-04-16 15:59:01,20.0,5.0,0.0,60.8,0.0,0.0,0.0,14.2
2020-04-16 16:00:01,25.0,13.8,0.0,25.0,4.3,0.0,0.0,31.9
2020-04-16 16:01:02,18.9,4.5,0.0,55.9,0.0,0.0,0.0,20.7
2020-04-16 16:02:01,19.8,5.9,0.0,70.3,0.0,0.0,0.0,4.0
2020-04-16 16:03:01,16.7,5.3,0.0,59.6,0.0,0.0,0.0,18.4
2020-04-16 16:04:01,22.0,6.0,0.0,71.0,0.0,0.0,0.0,1.0
2020-04-16 16:05:02,23.8,4.8,0.0,2.4,0.0,0.0,0.0,69.0
2020-04-16 16:06:01,26.0,6.0,0.0,66.0,0.0,0.0,1.0,1.0
2020-04-16 16:07:01,17.6,3.1,0.0,39.7,0.0,0.0,0.0,39.7
2020-04-16 16:08:02,21.0,6.7,0.0,44.5,0.0,0.0,0.0,27.7
2020-04-16 16:09:01,19.6,6.1,0.0,33.1,1.4,0.0,0.0,39.9
2020-04-16 16:10:02,14.5,3.7,0.0,27.7,0.0,0.0,0.8,53.3
2020-04-16 16:11:01,17.3,5.3,0.0,57.9,0.0,0.0,1.5,18.0
2020-04-16 16:12:01,22.2,6.5,0.0,63.0,0.0,0.0,0.9,7.4
2020-04-16 16:13:02,20.0,5.2,0.0,58.3,0.0,0.0,0.0,16.5
2020-04-16 16:14:01,19.6,6.2,0.0,61.6,0.0,0.0,0.0,12.5
2020-04-16 16:15:01,41.4,13.8,0.0,33.6,0.0,0.0,0.0,11.2
2020-04-16 16:16:02,21.2,8.0,0.0,60.2,0.0,0.0,0.0,10.6
2020-04-16 16:17:01,21.1,3.7,0.0,67.0,0.0,0.0,0.0,8.3
2020-04-16 16:18:01,19.6,5.9,0.0,72.5,0.0,0.0,1.0,1.0
2020-04-16 16:19:01,22.3,7.1,0.0,56.2,0.0,0.0,0.0,14.3
2020-04-16 16:20:02,15.1,2.2,0.0,27.3,0.0,0.0,0.7,54.7
2020-04-16 16:21:01,18.7,3.6,0.0,25.8,0.0,0.0,0.0,52.0
2020-04-16 16:22:02,17.7,5.1,0.0,41.1,0.0,0.0,0.6,35.4
2020-04-16 16:23:01,25.0,5.9,0.0,45.6,0.0,0.0,0.0,23.5
2020-04-16 16:24:01,18.9,3.8,0.0,67.0,0.0,0.0,0.9,9.4
